URL;Redirect
abcnews.go.com;
accuweather.com;
adelaidenow.com.au;
adn.com;
adweek.com;
afr.com;
agoracosmopolitan.com;
ajc.com;
al.com;
alarabiya.net;
aljazeera.com;
alternet.org;
amarujala.com;
anandabazar.com;
andhrajyothy.com;
ap.org;
azcentral.com;
baltimoresun.com;
bankrate.com;
bbc.co.uk/news/;
bbc.co.uk/news/business/;
bbc.com;
beforeitsnews.com;
bloomberg.com;
bostonglobe.com;
bostonherald.com;
breakingnews.com;
buffalonews.com;
business-standard.com;
calgaryherald.com;
canberratimes.com.au;
cbc.ca/news/;
cbsnews.com;
chicagotribune.com;
chinadaily.com.cn;
chron.com;
cision.com;
cnbc.com;
cnn.com;
commondreams.org;
courant.com;
couriermail.com.au;
csmonitor.com;
ctvnews.ca;
dailycaller.com;
dailynews.com;
dailytelegraph.com.au;
dailythanthi.com;
dallasnews.com;
deccanchronicle.com;
deccanherald.com;
deltadental.com;https://www.deltadentalins.com
denverpost.com;
deseretnews.com;
desmoinesregister.com;
detroitnews.com;
digitalspy.co.uk;
dinakaran.com;
dinamani.com;
dnaindia.com;
drudgereport.com;
dw.com;
eastbaytimes.com;
economictimes.indiatimes.com;
economist.com;
eenadu.net;
euronews.com;
examiner.com;
factcheck.org;
fark.com;
fcc.gov;
federalreserve.gov;
financialexpress.com;
fool.com;
forbes.com;
foreca.com;
fortune.com;
foxbusiness.com;
foxnews.com;
freep.com;
frontpagemag.com;
getpocket.com;
globaltimes.cn;
good.is;
greaterkashmir.com;
heraldsun.com.au;
hindustantimes.com;
hollywoodreporter.com;
https://news.google.com/;
https://www.c-span.org/;
https://www.voat.co/;
huffingtonpost.com;
indianexpress.com;
indystar.com;
inquisitr.com;
intellicast.com;
investorplace.com;
irna.ir;
itv.com/news/;
journalstar.com;
jsonline.com;
kansascity.com;
knoxnews.com;
latimes.com;
lexisnexis.com;
livemint.com;
losangeles.cbslocal.com;
macleans.ca;
manoramaonline.com;
mathrubhumi.com;
mcclatchydc.com;
mediamatters.org;
mercurynews.com;
metafilter.com;
metoffice.gov.uk;
metronews.ca;
miamiherald.com;
michaelmoore.com;
mid-day.com;
mirror.co.uk/news/weird-news/;
money.cnn.com;
montrealgazette.com;
mozilla.org;
mrmoneymustache.com;
my.yahoo.com;
mysanantonio.com;
nationalgeographic.com;
nationalpost.com;
navbharattimes.indiatimes.com;
nbcnews.com;
newrepublic.com;
news.com.au;
news.google.com;
news.yahoo.com;
newsday.com;
newsmax.com;
newsnow.co.uk;
newsobserver.com;
newsok.com;
newspapers.com;
newsthump.com;
newsvine.com;
newsweek.com;
newyorker.com/humor/borowitz-report;
nj.com;
nola.com;
northjersey.com;
npr.org/programs/;
nypost.com;
nytimes.com;
observer.com;
ocregister.com;
omaha.com;
onthesnow.com;
oregonlive.com;
orlandosentinel.com;
owl.english.purdue.edu;
palmbeachpost.com;
parade.com;
pbs.org/newshour/;
pewresearch.org;
philly.com;
pjstar.com;
prnewswire.com;
project-syndicate.org;
providencejournal.com;
prweb.com;
quora.com;
radar.weather.gov;
rappler.com;
rd.com;
reuters.com;
reviewjournal.com;
richmond.com;
rollcall.com;
rte.ie/news;
sacbee.com;
sandesh.com;
sandiegouniontribune.com;
seattlepi.com;
seattletimes.com;
seekingalpha.com/article/4093642-ahoy-u-s-stock-market-course-crash;
sfchronicle.com;
sfgate.com;
shutterstock.com;
siasat.com;
sltrib.com;
smartbrief.com;
smh.com.au;
snow-forecast.com;
spiegel.de/international/;
star-telegram.com;
startribune.com;
statesman.com;
stltoday.com;
store.steampowered.com;
sun-sentinel.com;
suntimes.com;
syracuse.com;
tampabay.com;
telegraphindia.com;
tennessean.com;
theadvocate.com;
theage.com.au;
theatlantic.com;
theaustralian.com.au;
thebetterindia.com;
theconversation.com;
thedailybeast.com;
thedailymash.co.uk;
thedrum.com;
theepochtimes.com;
theglobeandmail.com;
theguardian.com;
thehill.com;
thehindu.com;
thehindubusinessline.com;
theonion.com;
theroot.com;
thestar.com;
thestranger.com;
thetimes.co.uk;
theweek.com;
time.com;
timesofindia.indiatimes.com;
timesunion.com;
topix.com;
torproject.org;
townhall.com/columnists/;
triblive.com;
tribuneindia.com;
truthdig.com;
twincities.com;
twitter.com;
uk.reuters.com;
upi.com;
usatoday.com;
usnews.com;
vancouversun.com;
variety.com;
villagevoice.com;
voanews.com;
washingtonexaminer.com;
washingtonpost.com;
washingtontimes.com;
weather-forecast.com;
weather.com;
weather.gov;
weatherbug.com;
weatheronline.co.uk;
wfp.org;
wickedlocal.com;
wn.com;
wolfstreet.com;
worldweatheronline.com;
wsj.com;
wtop.com;
wunderground.com;
yonhapnews.co.kr;
yournewswire.com;
yr.no;
zougla.gr;
